	location
EPI_ISL_18691731|H5N1|a/turkey/utah/23-030214-001-original/2023|2023-10-04|2023.756	North America
EPI_ISL_1048241|H5N1|a/barnacle_goose/netherlands/21021591-001/2021|2021-01-14|2021.036	Europe
EPI_ISL_18132210|H5N1|a/trumpeter_swan/wisconsin/usda-011237-001/2022|2022-03-27|2022.233	North America
EPI_ISL_17373064|H5N1|a/vulture/north_carolina/w22-1078/2022|2022-11-04|2022.841	North America
EPI_ISL_18509069|H5N1|a/great_black-backed_gull/latvia/37618_23vir8835-16/2023|2023-06-09|2023.436	Europe
EPI_ISL_16297359|H5N1|a/guinea_fowl/oklahoma/22-032674-001-original/2022|2022-10-13|2022.781	North America
EPI_ISL_18132629|H5N1|a/chicken/oklahoma/usda-013220-001/2022|2022-04-28|2022.321	North America
EPI_ISL_17599532|H5N1|a/chroicocephalus_ridibundus/belgium/00374_0005/2023|2023-01-12|2023.03	Europe
EPI_ISL_3128524|H5N8|a/partridge/kosovo/96_21vir5162-14/2021|2021-05-31|2021.411	Europe
EPI_ISL_12150658|H5N1|a/chicken/czech_republic/913/2022|2022-01-12|2022.03	Europe
EPI_ISL_18132371|H5N1|a/redhead/new_york/usda-008835-006/2022|2022-03-01|2022.162	North America
EPI_ISL_18445707|H5N1|a/herring_gull/france/22p016177/2022|2022-05-17|2022.373	Europe
EPI_ISL_17716808|H5N1|a/guinea_fowl/czech_republic/7531-5/2023|2023-05-12|2023.359	Europe
EPI_ISL_13370632|H5N1|a/chicken/england/000095/2022|2022-01-02|2022.003	Europe
EPI_ISL_18133248|H5N1|a/mallard/kentucky/usda-005153-004/2022|2022-02-07|2022.101	North America
EPI_ISL_16632524|H5N1|a/great_black-backed_gull/massachusetts/22-025071-003-original/2022|2022-07-23|2022.556	North America
EPI_ISL_17584810|H5N1|a/black-headed_gull/czech_republic/5295-3/2023|2023-04-03|2023.252	Europe
EPI_ISL_18132879|H5N1|a/bald_eagle/north_carolina/usda-009805-002/2022|2022-03-31|2022.244	North America
EPI_ISL_15579540|H5N1|a/mallard/netherlands/15/2022|2022-09-21|2022.721	Europe
EPI_ISL_18132953|H5N1|a/bald_eagle/alaska/usda-013831-001/2022|2022-04-27|2022.318	North America
EPI_ISL_16171508|H5N1|a/turkey/wisconsin/22-013448-001-original/2022|2022-05-01|2022.329	North America
EPI_ISL_18373256|H5N1|a/white-fronted_goose/korea/21wc319/2022|2022-03-11|2022.189	Asia
EPI_ISL_18132767|H5N1|a/turkey/minnesota/usda-009313-002/2022|2022-03-28|2022.236	North America
EPI_ISL_14571448|H5N1|a/great_cormorant/germany-mv/ai02666/2022|2022-05-03|2022.334	Europe
EPI_ISL_18697742|H5N1|a/turkey/south_dakota/23-032362-001-original/2023|2023-10-24|2023.811	North America
EPI_ISL_16240888|H5N1|a/chicken/wyoming/22-014918-001-original/2022|2022-05-06|2022.342	North America
EPI_ISL_16632496|H5N1|a/red-tailed_hawk/massachusetts/22-010671-005-original/2022|2022-03-17|2022.205	North America
EPI_ISL_17072779|H5N1|a/chicken/scotland/015627/2023|2023-01-27|2023.071	Europe
EPI_ISL_16173537|H5N1|a/canada_goose/on/fav-0187-01/2022|2022-03-31|2022.244	North America
EPI_ISL_18665619|H5N1|a/cooper_s_hawk/bc/aivphl-1243/2023|2023-07-24|2023.559	North America
EPI_ISL_17584807|H5N1|a/domestic_duck/czech_reublic/22394/2022|2022-12-01|2022.915	Europe
EPI_ISL_11897695|H5N1|a/chicken/nebraska/22-007805-001-original/2022|2022-03-14|2022.197	North America
EPI_ISL_1058022|H5N8|a/chicken/czech_republic/3099-2/2021_|2021-02-12|2021.115	Europe
EPI_ISL_4061490|H5N8|a/chicken/nigeria/vrd21-88_21vir2288-8/2021|2021-02-25|2021.151	Africa
EPI_ISL_2815374|H5N8|a/mallard/ningxia/175/2020|2020-10-15|2020.787	Asia
EPI_ISL_13453570|H5N1|a/great_skua/scotland/5/2022|2022-04-29|2022.323	Europe
